Model,Release_date,Max_resolution,Low_resolution,Effective_pixels,Zoom_wide_W,Zoom_tele_T,Normal_focus_range,Macro_focus_range,Storage_included,Weight_inc._batteries,Dimensions,Price
162,2001,1600.0,800.0,1.0,41.0,41.0,80.0,20.0,16.0,260.0,108.0,249.0
163,2000,1600.0,800.0,1.0,41.0,123.0,10.0,1.0,8.0,245.0,67.0,249.0
164,2001,1600.0,800.0,1.0,41.0,123.0,10.0,1.0,8.0,245.0,67.0,249.0
165,2000,1600.0,800.0,1.0,40.0,320.0,40.0,1.0,8.0,295.0,81.0,249.0
166,2001,1600.0,800.0,1.0,40.0,320.0,40.0,1.0,8.0,295.0,81.0,249.0
167,2000,2048.0,1024.0,3.0,41.0,41.0,50.0,10.0,16.0,245.0,115.0,249.0
168,1996,640.0,320.0,0.0,47.0,106.0,60.0,9.0,4.0,290.0,162.0,249.0
169,2000,2048.0,1024.0,3.0,33.0,100.0,30.0,6.0,16.0,360.0,134.0,249.0
170,2001,2048.0,1024.0,3.0,33.0,100.0,30.0,6.0,16.0,360.0,134.0,249.0
171,2001,2240.0,1600.0,3.0,34.0,102.0,30.0,6.0,16.0,420.0,118.0,249.0
172,1998,1280.0,640.0,1.0,35.0,35.0,30.0,10.0,8.0,320.0,147.0,249.0
173,1999,1280.0,640.0,1.0,36.0,36.0,30.0,10.0,8.0,320.0,131.0,249.0
174,2002,2560.0,1600.0,4.0,34.0,102.0,30.0,6.0,16.0,420.0,118.0,249.0
175,1997,640.0,0.0,0.0,38.0,38.0,70.0,14.0,4.0,290.0,147.0,249.0
176,1998,1280.0,640.0,1.0,32.0,64.0,23.0,10.0,8.0,320.0,141.0,249.0
177,1998,640.0,0.0,0.0,38.0,38.0,70.0,14.0,4.0,300.0,129.0,249.0
178,1999,1280.0,640.0,1.0,40.0,320.0,40.0,1.0,8.0,320.0,141.0,249.0
179,2002,2048.0,1600.0,3.0,38.0,113.0,40.0,14.0,11.0,240.0,90.0,249.0
180,2002,2304.0,2240.0,4.0,38.0,113.0,40.0,14.0,11.0,240.0,90.0,249.0
181,2003,2304.0,2240.0,4.0,39.0,117.0,60.0,10.0,11.0,210.0,88.0,249.0
182,2004,2304.0,2240.0,3.0,39.0,117.0,60.0,10.0,9.0,198.0,88.0,249.0
183,2004,2560.0,2048.0,4.0,39.0,117.0,60.0,10.0,9.0,210.0,88.0,249.0
184,2004,2816.0,2048.0,6.0,39.0,117.0,70.0,10.0,9.0,218.0,88.0,249.0
185,2004,2816.0,2048.0,6.0,39.0,117.0,70.0,10.0,9.0,218.0,88.0,249.0
186,2000,3040.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,152.0,549.0
187,2002,2560.0,1600.0,4.0,35.0,105.0,60.0,15.0,0.0,260.0,112.0,549.0
188,1999,1600.0,640.0,1.0,38.0,38.0,50.0,15.0,8.0,280.0,113.0,229.0
189,1999,1600.0,640.0,1.0,35.0,105.0,0.0,0.0,0.0,0.0,0.0,229.0
190,2004,2560.0,1600.0,4.0,34.0,102.0,50.0,5.0,16.0,200.0,92.0,159.0
191,2000,2048.0,640.0,3.0,34.0,102.0,50.0,5.0,16.0,360.0,107.0,399.0
